neighbourhoodGroup,averageReviewScoresRating,averageReviewScoresLocation,averageReviewScoresValue,averageNumberReviews,averageReviewsPerMonth
Ballard,96.54716981,9.903301887,9.641509434,63.41401274,2.53925059
Beacon Hill,95.95959596,9.616161616,9.622895623,62.72151899,2.96
Capitol Hill,97,9.918072289,9.418072289,56.08602151,2.58535245
Cascade,94.65934066,9.802197802,9.333333333,23.30044843,1.79434783
Central Area,96.27586207,9.771034483,9.595862069,62.96291718,2.71767538
Delridge,96.21721311,9.594262295,9.68442623,49.45864662,2.96672131
Downtown,92.45096463,9.817670683,9.227309237,36.03369434,2.13845172
Interbay,97.73333333,9.666666667,9.733333333,32.30769231,3.024375
Lake City,95.85507246,9.710144928,9.65942029,40.94039735,1.86251799
Magnolia,96.55102041,9.823129252,9.62585034,46.58787879,2.4032
Northgate,94.046875,9.505208333,9.479166667,41.19444444,2.17271795
Other Neighborhoods,96.08651911,9.836021505,9.63868368,52.51426873,2.2060507
Queen Anne,95.86413043,9.90942029,9.548913043,49.96899225,2.6518705
Rainier Valley,96.02222222,9.575308642,9.644444444,55.44289044,2.51660976
Seward Park,95.975,9.775,9.75,48.94318182,1.802375
University District,90.93298969,9.606217617,9.093264249,23.77868852,1.35236181
West Seattle,97.2627907,9.948955916,9.737819026,56.27650728,2.51940092
